datetime,ward,bed_type,total_beds,staffed_beds,occupied_beds,closed_beds,hospital
17/12/2025,Surgery,General,39,39,35,0,hos_d33ca5af
23/12/2025,Surgery,General,39,39,35,0,hos_d33ca5af
3/1/2024,Surgery,General,39,39,36,0,hos_d33ca5af
4/1/2024,Surgery,General,39,39,36,0,hos_d33ca5af
9/1/2024,Surgery,General,39,39,36,0,hos_d33ca5af
12/1/2024,Surgery,General,39,39,36,0,hos_d33ca5af
15/1/2024,Surgery,General,39,39,36,0,hos_d33ca5af
16/1/2024,Surgery,General,39,39,36,0,hos_d33ca5af
17/1/2024,Surgery,General,39,39,36,0,hos_d33ca5af
2/2/2024,Surgery,General,39,39,36,0,hos_d33ca5af
7/2/2024,Surgery,General,39,39,36,0,hos_d33ca5af
8/2/2024,Surgery,General,39,39,36,0,hos_d33ca5af
19/2/2024,Surgery,General,39,39,36,0,hos_d33ca5af
20/2/2024,Surgery,General,39,39,36,0,hos_d33ca5af
21/2/2024,Surgery,General,39,39,36,0,hos_d33ca5af
23/2/2024,Surgery,General,39,39,36,0,hos_d33ca5af
26/2/2024,Surgery,General,39,39,36,0,hos_d33ca5af
5/3/2024,Surgery,General,39,39,36,0,hos_d33ca5af
11/3/2024,Surgery,General,39,39,36,0,hos_d33ca5af
12/3/2024,Surgery,General,39,39,36,0,hos_d33ca5af
14/3/2024,Surgery,General,39,39,36,0,hos_d33ca5af
29/4/2024,Surgery,General,39,39,36,0,hos_d33ca5af
29/5/2024,Surgery,General,39,39,36,0,hos_d33ca5af
5/6/2024,Surgery,General,39,39,36,0,hos_d33ca5af
24/6/2024,Surgery,General,39,39,36,0,hos_d33ca5af
28/6/2024,Surgery,General,39,39,36,0,hos_d33ca5af
18/7/2024,Surgery,General,39,39,36,0,hos_d33ca5af
13/8/2024,Surgery,General,39,39,36,0,hos_d33ca5af
22/8/2024,Surgery,General,39,39,36,0,hos_d33ca5af
26/8/2024,Surgery,General,39,39,36,0,hos_d33ca5af
29/8/2024,Surgery,General,39,39,36,0,hos_d33ca5af
6/9/2024,Surgery,General,39,39,36,0,hos_d33ca5af
13/9/2024,Surgery,General,39,39,36,0,hos_d33ca5af
2/10/2024,Surgery,General,39,39,36,0,hos_d33ca5af
8/10/2024,Surgery,General,39,39,36,0,hos_d33ca5af
9/10/2024,Surgery,General,39,39,36,0,hos_d33ca5af
24/10/2024,Surgery,General,39,39,36,0,hos_d33ca5af
25/10/2024,Surgery,General,39,39,36,0,hos_d33ca5af
15/11/2024,Surgery,General,39,39,36,0,hos_d33ca5af
9/12/2024,Surgery,General,39,39,36,0,hos_d33ca5af
18/12/2024,Surgery,General,39,39,36,0,hos_d33ca5af
20/12/2024,Surgery,General,39,39,36,0,hos_d33ca5af
8/1/2025,Surgery,General,39,39,36,0,hos_d33ca5af
15/1/2025,Surgery,General,39,39,36,0,hos_d33ca5af
27/1/2025,Surgery,General,39,39,36,0,hos_d33ca5af
28/1/2025,Surgery,General,39,39,36,0,hos_d33ca5af
30/1/2025,Surgery,General,39,39,36,0,hos_d33ca5af
5/2/2025,Surgery,General,39,39,36,0,hos_d33ca5af
11/2/2025,Surgery,General,39,39,36,0,hos_d33ca5af
19/2/2025,Surgery,General,39,39,36,0,hos_d33ca5af
20/2/2025,Surgery,General,39,39,36,0,hos_d33ca5af
7/3/2025,Surgery,General,39,39,36,0,hos_d33ca5af
11/3/2025,Surgery,General,39,39,36,0,hos_d33ca5af
21/3/2025,Surgery,General,39,39,36,0,hos_d33ca5af
25/3/2025,Surgery,General,39,39,36,0,hos_d33ca5af
8/4/2025,Surgery,General,39,39,36,0,hos_d33ca5af
25/4/2025,Surgery,General,39,39,36,0,hos_d33ca5af
8/5/2025,Surgery,General,39,39,36,0,hos_d33ca5af
12/5/2025,Surgery,General,39,39,36,0,hos_d33ca5af
13/5/2025,Surgery,General,39,39,36,0,hos_d33ca5af
19/5/2025,Surgery,General,39,39,36,0,hos_d33ca5af
22/5/2025,Surgery,General,39,39,36,0,hos_d33ca5af
12/6/2025,Surgery,General,39,39,36,0,hos_d33ca5af
13/6/2025,Surgery,General,39,39,36,0,hos_d33ca5af
25/6/2025,Surgery,General,39,39,36,0,hos_d33ca5af
9/7/2025,Surgery,General,39,39,36,0,hos_d33ca5af
10/7/2025,Surgery,General,39,39,36,0,hos_d33ca5af
16/7/2025,Surgery,General,39,39,36,0,hos_d33ca5af
21/7/2025,Surgery,General,39,39,36,0,hos_d33ca5af
28/7/2025,Surgery,General,39,39,36,0,hos_d33ca5af
6/8/2025,Surgery,General,39,39,36,0,hos_d33ca5af
13/8/2025,Surgery,General,39,39,36,0,hos_d33ca5af
28/8/2025,Surgery,General,39,39,36,0,hos_d33ca5af
3/9/2025,Surgery,General,39,39,36,0,hos_d33ca5af
5/9/2025,Surgery,General,39,39,36,0,hos_d33ca5af
30/9/2025,Surgery,General,39,39,36,0,hos_d33ca5af
13/10/2025,Surgery,General,39,39,36,0,hos_d33ca5af
16/10/2025,Surgery,General,39,39,36,0,hos_d33ca5af
27/10/2025,Surgery,General,39,39,36,0,hos_d33ca5af
1/12/2025,Surgery,General,39,39,36,0,hos_d33ca5af
3/12/2025,Surgery,General,39,39,36,0,hos_d33ca5af
12/12/2025,Surgery,General,39,39,36,0,hos_d33ca5af
2/1/2024,Surgery,General,39,39,34,0,hos_d33ca5af
5/1/2024,Surgery,General,39,39,34,0,hos_d33ca5af
19/1/2024,Surgery,General,39,39,34,0,hos_d33ca5af
30/1/2024,Surgery,General,39,39,34,0,hos_d33ca5af
8/3/2024,Surgery,General,39,39,34,0,hos_d33ca5af
26/3/2024,Surgery,General,39,39,34,0,hos_d33ca5af
29/3/2024,Surgery,General,39,39,34,0,hos_d33ca5af
3/4/2024,Surgery,General,39,39,34,0,hos_d33ca5af
9/4/2024,Surgery,General,39,39,34,0,hos_d33ca5af
10/4/2024,Surgery,General,39,39,34,0,hos_d33ca5af
15/4/2024,Surgery,General,39,39,34,0,hos_d33ca5af
18/4/2024,Surgery,General,39,39,34,0,hos_d33ca5af
19/4/2024,Surgery,General,39,39,34,0,hos_d33ca5af
22/4/2024,Surgery,General,39,39,34,0,hos_d33ca5af
23/4/2024,Surgery,General,39,39,34,0,hos_d33ca5af
30/4/2024,Surgery,General,39,39,34,0,hos_d33ca5af
7/5/2024,Surgery,General,39,39,34,0,hos_d33ca5af
21/5/2024,Surgery,General,39,39,34,0,hos_d33ca5af
23/5/2024,Surgery,General,39,39,34,0,hos_d33ca5af
30/5/2024,Surgery,General,39,39,34,0,hos_d33ca5af
31/5/2024,Surgery,General,39,39,34,0,hos_d33ca5af
7/6/2024,Surgery,General,39,39,34,0,hos_d33ca5af
12/7/2024,Surgery,General,39,39,34,0,hos_d33ca5af
24/7/2024,Surgery,General,39,39,34,0,hos_d33ca5af
2/8/2024,Surgery,General,39,39,34,0,hos_d33ca5af
6/8/2024,Surgery,General,39,39,34,0,hos_d33ca5af
14/8/2024,Surgery,General,39,39,34,0,hos_d33ca5af
23/8/2024,Surgery,General,39,39,34,0,hos_d33ca5af
28/8/2024,Surgery,General,39,39,34,0,hos_d33ca5af
3/9/2024,Surgery,General,39,39,34,0,hos_d33ca5af
3/10/2024,Surgery,General,39,39,34,0,hos_d33ca5af
7/10/2024,Surgery,General,39,39,34,0,hos_d33ca5af
23/10/2024,Surgery,General,39,39,34,0,hos_d33ca5af
30/10/2024,Surgery,General,39,39,34,0,hos_d33ca5af
4/11/2024,Surgery,General,39,39,34,0,hos_d33ca5af
5/11/2024,Surgery,General,39,39,34,0,hos_d33ca5af
6/11/2024,Surgery,General,39,39,34,0,hos_d33ca5af
25/11/2024,Surgery,General,39,39,34,0,hos_d33ca5af
28/11/2024,Surgery,General,39,39,34,0,hos_d33ca5af
12/12/2024,Surgery,General,39,39,34,0,hos_d33ca5af
13/12/2024,Surgery,General,39,39,34,0,hos_d33ca5af
6/1/2025,Surgery,General,39,39,34,0,hos_d33ca5af
13/1/2025,Surgery,General,39,39,34,0,hos_d33ca5af
21/1/2025,Surgery,General,39,39,34,0,hos_d33ca5af
24/2/2025,Surgery,General,39,39,34,0,hos_d33ca5af
27/2/2025,Surgery,General,39,39,34,0,hos_d33ca5af
6/3/2025,Surgery,General,39,39,34,0,hos_d33ca5af
2/4/2025,Surgery,General,39,39,34,0,hos_d33ca5af
16/4/2025,Surgery,General,39,39,34,0,hos_d33ca5af
21/4/2025,Surgery,General,39,39,34,0,hos_d33ca5af
22/4/2025,Surgery,General,39,39,34,0,hos_d33ca5af
23/4/2025,Surgery,General,39,39,34,0,hos_d33ca5af
2/5/2025,Surgery,General,39,39,34,0,hos_d33ca5af
7/5/2025,Surgery,General,39,39,34,0,hos_d33ca5af
9/5/2025,Surgery,General,39,39,34,0,hos_d33ca5af
16/5/2025,Surgery,General,39,39,34,0,hos_d33ca5af
26/5/2025,Surgery,General,39,39,34,0,hos_d33ca5af
18/6/2025,Surgery,General,39,39,34,0,hos_d33ca5af
1/7/2025,Surgery,General,39,39,34,0,hos_d33ca5af
4/7/2025,Surgery,General,39,39,34,0,hos_d33ca5af
8/7/2025,Surgery,General,39,39,34,0,hos_d33ca5af
14/7/2025,Surgery,General,39,39,34,0,hos_d33ca5af
22/7/2025,Surgery,General,39,39,34,0,hos_d33ca5af
24/7/2025,Surgery,General,39,39,34,0,hos_d33ca5af
1/8/2025,Surgery,General,39,39,34,0,hos_d33ca5af
7/8/2025,Surgery,General,39,39,34,0,hos_d33ca5af
27/8/2025,Surgery,General,39,39,34,0,hos_d33ca5af
10/9/2025,Surgery,General,39,39,34,0,hos_d33ca5af
12/9/2025,Surgery,General,39,39,34,0,hos_d33ca5af
16/9/2025,Surgery,General,39,39,34,0,hos_d33ca5af
23/9/2025,Surgery,General,39,39,34,0,hos_d33ca5af
26/9/2025,Surgery,General,39,39,34,0,hos_d33ca5af
21/10/2025,Surgery,General,39,39,34,0,hos_d33ca5af
29/10/2025,Surgery,General,39,39,34,0,hos_d33ca5af
18/11/2025,Surgery,General,39,39,34,0,hos_d33ca5af
20/11/2025,Surgery,General,39,39,34,0,hos_d33ca5af
9/12/2025,Surgery,General,39,39,34,0,hos_d33ca5af
22/12/2025,Surgery,General,39,39,34,0,hos_d33ca5af
22/1/2024,Surgery,General,39,39,37,0,hos_d33ca5af
26/1/2024,Surgery,General,39,39,37,0,hos_d33ca5af
22/2/2024,Surgery,General,39,39,37,0,hos_d33ca5af
28/2/2024,Surgery,General,39,39,37,0,hos_d33ca5af
20/3/2024,Surgery,General,39,39,37,0,hos_d33ca5af
21/3/2024,Surgery,General,39,39,37,0,hos_d33ca5af
25/3/2024,Surgery,General,39,39,37,0,hos_d33ca5af
17/4/2024,Surgery,General,39,39,37,0,hos_d33ca5af
9/5/2024,Surgery,General,39,39,37,0,hos_d33ca5af
4/6/2024,Surgery,General,39,39,37,0,hos_d33ca5af
19/6/2024,Surgery,General,39,39,37,0,hos_d33ca5af
3/7/2024,Surgery,General,39,39,37,0,hos_d33ca5af
15/7/2024,Surgery,General,39,39,37,0,hos_d33ca5af
16/7/2024,Surgery,General,39,39,37,0,hos_d33ca5af
29/7/2024,Surgery,General,39,39,37,0,hos_d33ca5af
30/7/2024,Surgery,General,39,39,37,0,hos_d33ca5af
1/8/2024,Surgery,General,39,39,37,0,hos_d33ca5af
5/8/2024,Surgery,General,39,39,37,0,hos_d33ca5af
8/8/2024,Surgery,General,39,39,37,0,hos_d33ca5af
9/8/2024,Surgery,General,39,39,37,0,hos_d33ca5af
16/8/2024,Surgery,General,39,39,37,0,hos_d33ca5af
27/8/2024,Surgery,General,39,39,37,0,hos_d33ca5af
12/9/2024,Surgery,General,39,39,37,0,hos_d33ca5af
18/9/2024,Surgery,General,39,39,37,0,hos_d33ca5af
19/9/2024,Surgery,General,39,39,37,0,hos_d33ca5af
20/9/2024,Surgery,General,39,39,37,0,hos_d33ca5af
11/10/2024,Surgery,General,39,39,37,0,hos_d33ca5af
15/10/2024,Surgery,General,39,39,37,0,hos_d33ca5af
16/10/2024,Surgery,General,39,39,37,0,hos_d33ca5af
31/10/2024,Surgery,General,39,39,37,0,hos_d33ca5af
21/11/2024,Surgery,General,39,39,37,0,hos_d33ca5af
26/11/2024,Surgery,General,39,39,37,0,hos_d33ca5af
5/12/2024,Surgery,General,39,39,37,0,hos_d33ca5af
17/12/2024,Surgery,General,39,39,37,0,hos_d33ca5af
30/12/2024,Surgery,General,39,39,37,0,hos_d33ca5af
2/1/2025,Surgery,General,39,39,37,0,hos_d33ca5af
20/1/2025,Surgery,General,39,39,37,0,hos_d33ca5af
24/1/2025,Surgery,General,39,39,37,0,hos_d33ca5af
29/1/2025,Surgery,General,39,39,37,0,hos_d33ca5af
14/2/2025,Surgery,General,39,39,37,0,hos_d33ca5af
17/2/2025,Surgery,General,39,39,37,0,hos_d33ca5af
21/2/2025,Surgery,General,39,39,37,0,hos_d33ca5af
5/3/2025,Surgery,General,39,39,37,0,hos_d33ca5af
13/3/2025,Surgery,General,39,39,37,0,hos_d33ca5af
30/4/2025,Surgery,General,39,39,37,0,hos_d33ca5af
14/5/2025,Surgery,General,39,39,37,0,hos_d33ca5af
23/5/2025,Surgery,General,39,39,37,0,hos_d33ca5af
30/5/2025,Surgery,General,39,39,37,0,hos_d33ca5af
11/6/2025,Surgery,General,39,39,37,0,hos_d33ca5af
17/6/2025,Surgery,General,39,39,37,0,hos_d33ca5af
20/6/2025,Surgery,General,39,39,37,0,hos_d33ca5af
2/7/2025,Surgery,General,39,39,37,0,hos_d33ca5af
7/7/2025,Surgery,General,39,39,37,0,hos_d33ca5af
11/7/2025,Surgery,General,39,39,37,0,hos_d33ca5af
15/7/2025,Surgery,General,39,39,37,0,hos_d33ca5af
8/8/2025,Surgery,General,39,39,37,0,hos_d33ca5af
18/8/2025,Surgery,General,39,39,37,0,hos_d33ca5af
19/8/2025,Surgery,General,39,39,37,0,hos_d33ca5af
25/8/2025,Surgery,General,39,39,37,0,hos_d33ca5af
11/9/2025,Surgery,General,39,39,37,0,hos_d33ca5af
18/9/2025,Surgery,General,39,39,37,0,hos_d33ca5af
1/10/2025,Surgery,General,39,39,37,0,hos_d33ca5af
15/10/2025,Surgery,General,39,39,37,0,hos_d33ca5af
30/10/2025,Surgery,General,39,39,37,0,hos_d33ca5af
14/11/2025,Surgery,General,39,39,37,0,hos_d33ca5af
21/11/2025,Surgery,General,39,39,37,0,hos_d33ca5af
10/12/2025,Surgery,General,39,39,37,0,hos_d33ca5af
18/12/2025,Surgery,General,39,39,37,0,hos_d33ca5af
19/12/2025,Surgery,General,39,39,37,0,hos_d33ca5af
24/12/2025,Surgery,General,39,39,37,0,hos_d33ca5af
8/1/2024,Surgery,General,39,39,32,0,hos_d33ca5af
11/1/2024,Surgery,General,39,39,33,0,hos_d33ca5af
23/1/2024,Surgery,General,39,39,32,0,hos_d33ca5af
24/1/2024,Surgery,General,39,39,38,0,hos_d33ca5af
31/1/2024,Surgery,General,39,39,33,0,hos_d33ca5af
14/2/2024,Surgery,General,39,39,38,0,hos_d33ca5af
15/2/2024,Surgery,General,39,39,38,0,hos_d33ca5af
29/2/2024,Surgery,General,39,39,31,0,hos_d33ca5af
6/3/2024,Surgery,General,39,39,38,0,hos_d33ca5af
7/3/2024,Surgery,General,39,39,32,0,hos_d33ca5af
15/3/2024,Surgery,General,39,39,38,0,hos_d33ca5af
19/3/2024,Surgery,General,39,39,38,0,hos_d33ca5af
22/3/2024,Surgery,General,39,39,32,0,hos_d33ca5af
1/4/2024,Surgery,General,39,39,32,0,hos_d33ca5af
4/4/2024,Surgery,General,39,39,38,0,hos_d33ca5af
11/4/2024,Surgery,General,39,39,38,0,hos_d33ca5af
12/4/2024,Surgery,General,39,39,38,0,hos_d33ca5af
16/4/2024,Surgery,General,39,39,38,0,hos_d33ca5af
25/4/2024,Surgery,General,39,39,38,0,hos_d33ca5af
26/4/2024,Surgery,General,39,39,38,0,hos_d33ca5af
1/5/2024,Surgery,General,39,39,33,0,hos_d33ca5af
3/5/2024,Surgery,General,39,39,38,0,hos_d33ca5af
6/5/2024,Surgery,General,39,39,32,0,hos_d33ca5af
10/5/2024,Surgery,General,39,39,33,0,hos_d33ca5af
16/5/2024,Surgery,General,39,39,33,0,hos_d33ca5af
17/5/2024,Surgery,General,39,39,33,0,hos_d33ca5af
20/5/2024,Surgery,General,39,39,33,0,hos_d33ca5af
22/5/2024,Surgery,General,39,39,33,0,hos_d33ca5af
24/5/2024,Surgery,General,39,39,33,0,hos_d33ca5af
3/6/2024,Surgery,General,39,39,33,0,hos_d33ca5af
6/6/2024,Surgery,General,39,39,33,0,hos_d33ca5af
11/6/2024,Surgery,General,39,39,38,0,hos_d33ca5af
13/6/2024,Surgery,General,39,39,31,0,hos_d33ca5af
14/6/2024,Surgery,General,39,39,32,0,hos_d33ca5af
17/6/2024,Surgery,General,39,39,38,0,hos_d33ca5af
25/6/2024,Surgery,General,39,39,33,0,hos_d33ca5af
27/6/2024,Surgery,General,39,39,38,0,hos_d33ca5af
4/7/2024,Surgery,General,39,39,38,0,hos_d33ca5af
5/7/2024,Surgery,General,39,39,38,0,hos_d33ca5af
8/7/2024,Surgery,General,39,39,32,0,hos_d33ca5af
17/7/2024,Surgery,General,39,39,38,0,hos_d33ca5af
26/7/2024,Surgery,General,39,39,38,0,hos_d33ca5af
31/7/2024,Surgery,General,39,39,38,0,hos_d33ca5af
12/8/2024,Surgery,General,39,39,38,0,hos_d33ca5af
15/8/2024,Surgery,General,39,39,33,0,hos_d33ca5af
19/8/2024,Surgery,General,39,39,38,0,hos_d33ca5af
20/8/2024,Surgery,General,39,39,32,0,hos_d33ca5af
30/8/2024,Surgery,General,39,39,33,0,hos_d33ca5af
4/9/2024,Surgery,General,39,39,33,0,hos_d33ca5af
10/9/2024,Surgery,General,39,39,33,0,hos_d33ca5af
11/9/2024,Surgery,General,39,39,38,0,hos_d33ca5af
17/9/2024,Surgery,General,39,39,33,0,hos_d33ca5af
24/9/2024,Surgery,General,39,39,33,0,hos_d33ca5af
26/9/2024,Surgery,General,39,39,38,0,hos_d33ca5af
27/9/2024,Surgery,General,39,39,32,0,hos_d33ca5af
1/10/2024,Surgery,General,39,39,33,0,hos_d33ca5af
17/10/2024,Surgery,General,39,39,33,0,hos_d33ca5af
28/10/2024,Surgery,General,39,39,33,0,hos_d33ca5af
1/11/2024,Surgery,General,39,39,33,0,hos_d33ca5af
8/11/2024,Surgery,General,39,39,33,0,hos_d33ca5af
14/11/2024,Surgery,General,39,39,33,0,hos_d33ca5af
19/11/2024,Surgery,General,39,39,38,0,hos_d33ca5af
2/12/2024,Surgery,General,39,39,38,0,hos_d33ca5af
3/12/2024,Surgery,General,39,39,32,0,hos_d33ca5af
16/12/2024,Surgery,General,39,39,38,0,hos_d33ca5af
19/12/2024,Surgery,General,39,39,32,0,hos_d33ca5af
23/12/2024,Surgery,General,39,39,38,0,hos_d33ca5af
24/12/2024,Surgery,General,39,39,32,0,hos_d33ca5af
27/12/2024,Surgery,General,39,39,38,0,hos_d33ca5af
31/12/2024,Surgery,General,39,39,33,0,hos_d33ca5af
7/1/2025,Surgery,General,39,39,33,0,hos_d33ca5af
9/1/2025,Surgery,General,39,39,38,0,hos_d33ca5af
14/1/2025,Surgery,General,39,39,38,0,hos_d33ca5af
17/1/2025,Surgery,General,39,39,33,0,hos_d33ca5af
31/1/2025,Surgery,General,39,39,33,0,hos_d33ca5af
6/2/2025,Surgery,General,39,39,33,0,hos_d33ca5af
10/2/2025,Surgery,General,39,39,31,0,hos_d33ca5af
18/2/2025,Surgery,General,39,39,38,0,hos_d33ca5af
28/2/2025,Surgery,General,39,39,33,0,hos_d33ca5af
4/3/2025,Surgery,General,39,39,31,0,hos_d33ca5af
10/3/2025,Surgery,General,39,39,33,0,hos_d33ca5af
14/3/2025,Surgery,General,39,39,32,0,hos_d33ca5af
17/3/2025,Surgery,General,39,39,33,0,hos_d33ca5af
18/3/2025,Surgery,General,39,39,32,0,hos_d33ca5af
19/3/2025,Surgery,General,39,39,31,0,hos_d33ca5af
20/3/2025,Surgery,General,39,39,33,0,hos_d33ca5af
24/3/2025,Surgery,General,39,39,32,0,hos_d33ca5af
26/3/2025,Surgery,General,39,39,33,0,hos_d33ca5af
31/3/2025,Surgery,General,39,39,33,0,hos_d33ca5af
3/4/2025,Surgery,General,39,39,38,0,hos_d33ca5af
9/4/2025,Surgery,General,39,39,33,0,hos_d33ca5af
15/4/2025,Surgery,General,39,39,33,0,hos_d33ca5af
17/4/2025,Surgery,General,39,39,32,0,hos_d33ca5af
18/4/2025,Surgery,General,39,39,33,0,hos_d33ca5af
5/5/2025,Surgery,General,39,39,33,0,hos_d33ca5af
21/5/2025,Surgery,General,39,39,38,0,hos_d33ca5af
27/5/2025,Surgery,General,39,39,32,0,hos_d33ca5af
28/5/2025,Surgery,General,39,39,32,0,hos_d33ca5af
2/6/2025,Surgery,General,39,39,38,0,hos_d33ca5af
3/6/2025,Surgery,General,39,39,33,0,hos_d33ca5af
6/6/2025,Surgery,General,39,39,38,0,hos_d33ca5af
16/6/2025,Surgery,General,39,39,38,0,hos_d33ca5af
19/6/2025,Surgery,General,39,39,33,0,hos_d33ca5af
26/6/2025,Surgery,General,39,39,38,0,hos_d33ca5af
17/7/2025,Surgery,General,39,39,33,0,hos_d33ca5af
23/7/2025,Surgery,General,39,39,38,0,hos_d33ca5af
30/7/2025,Surgery,General,39,39,38,0,hos_d33ca5af
4/8/2025,Surgery,General,39,39,33,0,hos_d33ca5af
11/8/2025,Surgery,General,39,39,38,0,hos_d33ca5af
20/8/2025,Surgery,General,39,39,33,0,hos_d33ca5af
1/9/2025,Surgery,General,39,39,33,0,hos_d33ca5af
8/9/2025,Surgery,General,39,39,32,0,hos_d33ca5af
9/9/2025,Surgery,General,39,39,33,0,hos_d33ca5af
15/9/2025,Surgery,General,39,39,32,0,hos_d33ca5af
17/9/2025,Surgery,General,39,39,33,0,hos_d33ca5af
22/9/2025,Surgery,General,39,39,32,0,hos_d33ca5af
