LogID,TicketID,ActionType,ActionByID,ActionAt,PreviousValue,NewValue,Notes
62,11,Resolved,104,2024-03-11 21:23,In Progress,Resolved,Resolution confirmed. Notes added.
63,12,Created,38,2023-08-06 11:24,,Open,Ticket created via Form
64,12,Assigned,38,2023-08-06 11:28,Unassigned,Agent 38,Auto-routed by category specialism match
65,12,Responded,38,2023-08-06 14:05,Open,In Progress,Initial response sent to client
66,12,Resolved,38,2023-08-10 07:08,In Progress,Resolved,Resolution confirmed. Notes added.
67,13,Created,78,2023-03-22 02:39,,Open,Ticket created via Phone
68,13,Assigned,78,2023-03-22 02:51,Unassigned,Agent 78,Auto-routed by category specialism match
69,13,Responded,78,2023-03-22 05:43,Open,In Progress,Initial response sent to client
70,13,Resolved,78,2023-03-22 22:16,In Progress,Resolved,Resolution confirmed. Notes added.
71,13,Closed,78,2023-03-24 22:16,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
72,14,Created,71,2023-08-03 20:05,,Open,Ticket created via Email
73,14,Assigned,71,2023-08-03 20:24,Unassigned,Agent 71,Auto-routed by category specialism match
74,14,Responded,71,2023-08-04 10:51,Open,In Progress,Initial response sent to client
75,14,Status Changed,71,2023-08-04 17:51,In Progress,Pending Client,Pending document verification
76,14,Resolved,71,2023-08-05 21:10,In Progress,Resolved,Resolution confirmed. Notes added.
77,15,Created,60,2024-05-07 20:08,,Open,Ticket created via Email
78,15,Assigned,60,2024-05-07 20:11,Unassigned,Agent 60,Auto-routed by category specialism match
79,15,Responded,60,2024-05-07 23:50,Open,In Progress,Initial response sent to client
80,15,Resolved,60,2024-05-10 00:25,In Progress,Resolved,Resolution confirmed. Notes added.
81,15,Closed,60,2024-05-12 14:25,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
82,16,Created,14,2024-02-27 06:46,,Open,Ticket created via Email
83,16,Assigned,14,2024-02-27 07:04,Unassigned,Agent 14,Auto-routed by category specialism match
84,16,Responded,14,2024-02-27 09:25,Open,In Progress,Initial response sent to client
85,16,Resolved,14,2024-03-02 09:56,In Progress,Resolved,Resolution confirmed. Notes added.
86,16,Closed,14,2024-03-03 09:56,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
87,17,Created,104,2023-04-03 05:44,,Open,Ticket created via Email
88,17,Assigned,104,2023-04-03 06:04,Unassigned,Agent 104,Auto-routed by category specialism match
89,17,Responded,104,2023-04-03 07:12,Open,In Progress,Initial response sent to client
90,17,Status Changed,104,2023-04-03 12:12,In Progress,Pending Client,Awaiting client confirmation
91,17,Resolved,104,2023-04-04 10:13,In Progress,Resolved,Resolution confirmed. Notes added.
92,17,Closed,104,2023-04-07 08:13,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
93,18,Created,75,2025-03-25 20:00,,Open,Ticket created via Form
94,18,Assigned,75,2025-03-25 20:07,Unassigned,Agent 75,Auto-routed by category specialism match
95,19,Created,22,2023-10-28 09:34,,Open,Ticket created via Phone
96,19,Assigned,22,2023-10-28 09:50,Unassigned,Agent 22,Auto-routed by category specialism match
97,19,Responded,22,2023-10-28 11:48,Open,In Progress,Initial response sent to client
98,19,Status Changed,22,2023-10-29 11:48,In Progress,In Progress,Awaiting client confirmation
99,19,Resolved,22,2023-10-29 12:05,In Progress,Resolved,Resolution confirmed. Notes added.
100,19,Closed,22,2023-10-31 13:05,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
101,20,Created,107,2023-04-07 20:09,,Open,Ticket created via Email
102,20,Assigned,107,2023-04-07 20:27,Unassigned,Agent 107,Auto-routed by category specialism match
103,20,Responded,107,2023-04-08 00:58,Open,In Progress,Initial response sent to client
104,20,Resolved,107,2023-04-14 01:12,In Progress,Resolved,Resolution confirmed. Notes added.
105,21,Created,107,2023-12-06 14:58,,Open,Ticket created via Email
106,21,Assigned,107,2023-12-06 15:07,Unassigned,Agent 107,Auto-routed by category specialism match
107,21,Responded,107,2023-12-06 19:33,Open,In Progress,Initial response sent to client
108,21,Resolved,107,2023-12-08 02:39,In Progress,Resolved,Resolution confirmed. Notes added.
109,21,Closed,107,2023-12-10 02:39,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
110,22,Created,116,2024-11-23 08:47,,Open,Ticket created via Email
111,22,Assigned,116,2024-11-23 09:05,Unassigned,Agent 116,Auto-routed by category specialism match
112,22,Responded,116,2024-11-23 11:21,Open,In Progress,Initial response sent to client
113,22,Resolved,116,2024-11-24 19:32,In Progress,Resolved,Resolution confirmed. Notes added.
114,23,Created,9,2025-01-03 16:05,,Open,Ticket created via Email
115,23,Assigned,9,2025-01-03 16:24,Unassigned,Agent 9,Auto-routed by category specialism match
116,23,Responded,9,2025-01-03 16:25,Open,In Progress,Initial response sent to client
117,23,Status Changed,9,2025-01-04 11:25,In Progress,Pending Client,Awaiting client confirmation
118,23,Resolved,9,2025-01-03 17:54,In Progress,Resolved,Resolution confirmed. Notes added.
119,24,Created,35,2023-02-05 15:38,,Open,Ticket created via Phone
120,24,Assigned,35,2023-02-05 15:57,Unassigned,Agent 35,Auto-routed by category specialism match
121,24,Responded,35,2023-02-05 21:57,Open,In Progress,Initial response sent to client
122,24,Resolved,35,2023-02-08 00:17,In Progress,Resolved,Resolution confirmed. Notes added.
123,24,Closed,35,2023-02-09 01:17,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
124,25,Created,105,2024-01-16 12:21,,Open,Ticket created via Email
125,25,Assigned,105,2024-01-16 12:31,Unassigned,Agent 105,Auto-routed by category specialism match
126,25,Responded,105,2024-01-16 18:22,Open,In Progress,Initial response sent to client
127,25,Status Changed,105,2024-01-17 06:22,In Progress,In Progress,Awaiting client confirmation
128,25,Resolved,105,2024-01-17 16:18,In Progress,Resolved,Resolution confirmed. Notes added.
129,25,Closed,105,2024-01-18 18:18,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
130,26,Created,50,2023-03-15 03:57,,Open,Ticket created via Form
131,26,Assigned,50,2023-03-15 04:02,Unassigned,Agent 50,Auto-routed by category specialism match
132,26,Responded,50,2023-03-15 07:53,Open,In Progress,Initial response sent to client
133,26,Status Changed,50,2023-03-15 16:53,In Progress,Pending Client,Pending document verification
134,26,Resolved,50,2023-03-16 08:20,In Progress,Resolved,Resolution confirmed. Notes added.
135,26,Closed,50,2023-03-17 16:20,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
136,27,Created,27,2024-02-01 10:55,,Open,Ticket created via Email
137,27,Assigned,27,2024-02-01 11:03,Unassigned,Agent 27,Auto-routed by category specialism match
138,27,Responded,27,2024-02-01 13:01,Open,In Progress,Initial response sent to client
139,27,Resolved,27,2024-02-02 06:40,In Progress,Resolved,Resolution confirmed. Notes added.
140,28,Created,28,2025-01-14 07:27,,Open,Ticket created via Portal
141,28,Assigned,28,2025-01-14 07:47,Unassigned,Agent 28,Auto-routed by category specialism match
142,28,Responded,28,2025-01-14 08:21,Open,In Progress,Initial response sent to client
143,28,Status Changed,28,2025-01-15 00:21,In Progress,In Progress,Awaiting client confirmation
144,28,Resolved,28,2025-01-14 13:12,In Progress,Resolved,Resolution confirmed. Notes added.
145,28,Closed,28,2025-01-15 07:12,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
146,29,Created,8,2023-08-16 00:23,,Open,Ticket created via Email
147,29,Assigned,8,2023-08-16 00:30,Unassigned,Agent 8,Auto-routed by category specialism match
148,29,Responded,8,2023-08-16 04:47,Open,In Progress,Initial response sent to client
149,29,Status Changed,8,2023-08-16 17:47,In Progress,Pending Client,Pending document verification
150,29,Resolved,8,2023-08-17 12:57,In Progress,Resolved,Resolution confirmed. Notes added.
151,29,Closed,8,2023-08-19 19:57,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
152,30,Created,71,2023-04-02 13:41,,Open,Ticket created via Email
153,30,Assigned,71,2023-04-02 14:01,Unassigned,Agent 71,Auto-routed by category specialism match
154,30,Responded,71,2023-04-03 07:18,Open,In Progress,Initial response sent to client
155,30,Status Changed,71,2023-04-03 18:18,In Progress,Pending Client,Additional information requested
156,30,Resolved,71,2023-04-04 05:59,In Progress,Resolved,Resolution confirmed. Notes added.
157,30,Closed,71,2023-04-05 16:59,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
158,31,Created,3,2023-01-19 17:50,,Open,Ticket created via Phone
159,31,Assigned,3,2023-01-19 17:54,Unassigned,Agent 3,Auto-routed by category specialism match
160,31,Responded,3,2023-01-19 19:53,Open,In Progress,Initial response sent to client
161,31,Status Changed,3,2023-01-20 19:53,In Progress,In Progress,Additional information requested
162,31,Resolved,3,2023-01-21 18:29,In Progress,Resolved,Resolution confirmed. Notes added.
163,32,Created,45,2023-12-18 04:34,,Open,Ticket created via Portal
164,32,Assigned,45,2023-12-18 04:36,Unassigned,Agent 45,Auto-routed by category specialism match
165,32,Responded,45,2023-12-18 11:05,Open,In Progress,Initial response sent to client
166,32,Status Changed,45,2023-12-18 15:05,In Progress,Pending Client,Awaiting client confirmation
167,32,Resolved,45,2023-12-19 06:24,In Progress,Resolved,Resolution confirmed. Notes added.
168,32,Closed,45,2023-12-21 04:24,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
169,33,Created,118,2023-11-25 18:11,,Open,Ticket created via Portal
170,33,Assigned,118,2023-11-25 18:26,Unassigned,Agent 118,Auto-routed by category specialism match
171,33,Responded,118,2023-11-26 14:42,Open,In Progress,Initial response sent to client
172,33,Resolved,118,2023-11-28 03:23,In Progress,Resolved,Resolution confirmed. Notes added.
173,33,Closed,118,2023-11-28 17:23,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
174,34,Created,46,2024-05-30 15:47,,Open,Ticket created via Portal
175,34,Assigned,46,2024-05-30 16:05,Unassigned,Agent 46,Auto-routed by category specialism match
176,34,Responded,46,2024-05-31 10:12,Open,In Progress,Initial response sent to client
177,34,Status Changed,46,2024-06-01 08:12,In Progress,In Progress,Query sent to insurer
178,34,Resolved,46,2024-06-02 09:34,In Progress,Resolved,Resolution confirmed. Notes added.
179,35,Created,22,2024-11-02 04:27,,Open,Ticket created via Portal
180,35,Assigned,22,2024-11-02 04:44,Unassigned,Agent 22,Auto-routed by category specialism match
181,35,Responded,22,2024-11-02 05:48,Open,In Progress,Initial response sent to client
182,35,Status Changed,22,2024-11-03 03:48,In Progress,In Progress,Query sent to insurer
183,35,Resolved,22,2024-11-02 22:26,In Progress,Resolved,Resolution confirmed. Notes added.
184,35,Closed,22,2024-11-04 02:26,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
185,36,Created,25,2023-05-16 22:40,,Open,Ticket created via Phone
186,36,Assigned,25,2023-05-16 22:47,Unassigned,Agent 25,Auto-routed by category specialism match
187,36,Responded,25,2023-05-17 00:07,Open,In Progress,Initial response sent to client
188,36,Resolved,25,2023-05-17 14:15,In Progress,Resolved,Resolution confirmed. Notes added.
189,36,Closed,25,2023-05-18 17:15,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
190,37,Created,35,2024-02-23 02:01,,Open,Ticket created via Email
191,37,Assigned,35,2024-02-23 02:09,Unassigned,Agent 35,Auto-routed by category specialism match
192,37,Responded,35,2024-02-23 03:53,Open,In Progress,Initial response sent to client
193,37,Resolved,35,2024-02-24 16:05,In Progress,Resolved,Resolution confirmed. Notes added.
194,38,Created,109,2024-10-31 06:32,,Open,Ticket created via Portal
195,38,Assigned,109,2024-10-31 06:49,Unassigned,Agent 109,Auto-routed by category specialism match
196,38,Responded,109,2024-10-31 08:27,Open,In Progress,Initial response sent to client
197,38,Status Changed,109,2024-10-31 15:27,In Progress,Pending Client,Additional information requested
198,38,Resolved,109,2024-11-01 00:14,In Progress,Resolved,Resolution confirmed. Notes added.
199,38,Closed,109,2024-11-04 00:14,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
200,39,Created,108,2023-10-07 20:10,,Open,Ticket created via Portal
201,39,Assigned,108,2023-10-07 20:19,Unassigned,Agent 108,Auto-routed by category specialism match
202,39,Responded,108,2023-10-08 03:05,Open,In Progress,Initial response sent to client
203,40,Created,78,2025-01-14 19:09,,Open,Ticket created via Phone
204,40,Assigned,78,2025-01-14 19:12,Unassigned,Agent 78,Auto-routed by category specialism match
205,40,Responded,78,2025-01-15 04:08,Open,In Progress,Initial response sent to client
206,40,Resolved,78,2025-01-15 14:19,In Progress,Resolved,Resolution confirmed. Notes added.
207,40,Closed,78,2025-01-18 13:19,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
208,41,Created,1,2023-06-14 21:53,,Open,Ticket created via Email
209,41,Assigned,1,2023-06-14 21:56,Unassigned,Agent 1,Auto-routed by category specialism match
210,41,Responded,1,2023-06-15 02:58,Open,In Progress,Initial response sent to client
211,41,Status Changed,1,2023-06-15 13:58,In Progress,In Progress,Awaiting client confirmation
212,41,Resolved,1,2023-06-16 05:31,In Progress,Resolved,Resolution confirmed. Notes added.
213,42,Created,79,2025-03-20 20:34,,Open,Ticket created via Email
214,42,Assigned,79,2025-03-20 20:49,Unassigned,Agent 79,Auto-routed by category specialism match
215,43,Created,96,2024-05-29 12:11,,Open,Ticket created via Phone
216,43,Assigned,96,2024-05-29 12:19,Unassigned,Agent 96,Auto-routed by category specialism match
217,43,Responded,96,2024-05-29 13:32,Open,In Progress,Initial response sent to client
218,43,Status Changed,96,2024-05-29 19:32,In Progress,Pending Client,Additional information requested
219,43,Resolved,96,2024-05-29 20:45,In Progress,Resolved,Resolution confirmed. Notes added.
220,43,Closed,96,2024-06-01 05:45,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
221,44,Created,116,2023-06-08 09:35,,Open,Ticket created via Portal
222,44,Assigned,116,2023-06-08 09:50,Unassigned,Agent 116,Auto-routed by category specialism match
223,44,Responded,116,2023-06-08 10:44,Open,In Progress,Initial response sent to client
224,44,Status Changed,116,2023-06-09 10:44,In Progress,Pending Client,Query sent to insurer
225,44,Resolved,116,2023-06-09 05:50,In Progress,Resolved,Resolution confirmed. Notes added.
226,45,Created,13,2024-05-01 20:24,,Open,Ticket created via Email
227,45,Assigned,13,2024-05-01 20:31,Unassigned,Agent 13,Auto-routed by category specialism match
228,45,Responded,13,2024-05-01 21:57,Open,In Progress,Initial response sent to client
229,45,Status Changed,13,2024-05-02 04:57,In Progress,Pending Client,Query sent to insurer
230,45,Resolved,13,2024-05-03 04:50,In Progress,Resolved,Resolution confirmed. Notes added.
231,46,Created,34,2023-08-01 10:22,,Open,Ticket created via Portal
232,46,Assigned,34,2023-08-01 10:42,Unassigned,Agent 34,Auto-routed by category specialism match
233,46,Responded,34,2023-08-02 00:42,Open,In Progress,Initial response sent to client
234,46,Status Changed,34,2023-08-02 18:42,In Progress,Pending Client,Query sent to insurer
235,46,Resolved,34,2023-08-04 05:48,In Progress,Resolved,Resolution confirmed. Notes added.
236,46,Closed,34,2023-08-06 07:48,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
237,47,Created,13,2025-03-04 20:13,,Open,Ticket created via Phone
238,47,Assigned,13,2025-03-04 20:29,Unassigned,Agent 13,Auto-routed by category specialism match
239,47,Responded,13,2025-03-05 03:23,Open,In Progress,Initial response sent to client
240,48,Created,116,2023-07-02 16:28,,Open,Ticket created via Portal
241,48,Assigned,116,2023-07-02 16:33,Unassigned,Agent 116,Auto-routed by category specialism match
242,48,Responded,116,2023-07-02 17:53,Open,In Progress,Initial response sent to client
243,48,Status Changed,116,2023-07-03 14:53,In Progress,Pending Client,Pending document verification
244,48,Resolved,116,2023-07-04 14:54,In Progress,Resolved,Resolution confirmed. Notes added.
245,49,Created,90,2024-02-20 15:16,,Open,Ticket created via Form
246,49,Assigned,90,2024-02-20 15:28,Unassigned,Agent 90,Auto-routed by category specialism match
247,49,Responded,90,2024-02-20 18:46,Open,In Progress,Initial response sent to client
248,49,Resolved,90,2024-02-22 09:27,In Progress,Resolved,Resolution confirmed. Notes added.
249,49,Closed,90,2024-02-24 00:27,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
250,50,Created,54,2023-05-25 22:49,,Open,Ticket created via Phone
251,50,Assigned,54,2023-05-25 22:53,Unassigned,Agent 54,Auto-routed by category specialism match
252,50,Responded,54,2023-05-26 05:28,Open,In Progress,Initial response sent to client
253,50,Resolved,54,2023-05-29 00:00,In Progress,Resolved,Resolution confirmed. Notes added.
254,51,Created,107,2025-01-24 06:42,,Open,Ticket created via Email
255,51,Assigned,107,2025-01-24 06:45,Unassigned,Agent 107,Auto-routed by category specialism match
256,51,Responded,107,2025-01-24 08:08,Open,In Progress,Initial response sent to client
257,51,Status Changed,107,2025-01-24 21:08,In Progress,Pending Client,Awaiting client confirmation
258,51,Resolved,107,2025-01-24 20:51,In Progress,Resolved,Resolution confirmed. Notes added.
259,51,Closed,107,2025-01-26 03:51,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
260,52,Created,59,2023-03-22 18:46,,Open,Ticket created via Phone
261,52,Assigned,59,2023-03-22 18:48,Unassigned,Agent 59,Auto-routed by category specialism match
262,52,Responded,59,2023-03-22 19:53,Open,In Progress,Initial response sent to client
263,52,Resolved,59,2023-03-23 03:24,In Progress,Resolved,Resolution confirmed. Notes added.
264,52,Closed,59,2023-03-23 10:24,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
265,53,Created,19,2023-06-09 10:45,,Open,Ticket created via Email
266,53,Assigned,19,2023-06-09 10:57,Unassigned,Agent 19,Auto-routed by category specialism match
267,53,Responded,19,2023-06-09 13:49,Open,In Progress,Initial response sent to client
268,53,Status Changed,19,2023-06-10 09:49,In Progress,Pending Client,Awaiting client confirmation
269,53,Resolved,19,2023-06-09 19:58,In Progress,Resolved,Resolution confirmed. Notes added.
270,53,Closed,19,2023-06-11 05:58,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
271,54,Created,105,2023-08-06 20:04,,Open,Ticket created via Email
272,54,Assigned,105,2023-08-06 20:14,Unassigned,Agent 105,Auto-routed by category specialism match
273,54,Responded,105,2023-08-06 20:20,Open,In Progress,Initial response sent to client
274,54,Status Changed,105,2023-08-07 07:20,In Progress,Pending Client,Query sent to insurer
275,54,Resolved,105,2023-08-06 20:58,In Progress,Resolved,Resolution confirmed. Notes added.
276,54,Closed,105,2023-08-08 08:58,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
277,55,Created,63,2024-01-08 03:16,,Open,Ticket created via Phone
278,55,Assigned,63,2024-01-08 03:20,Unassigned,Agent 63,Auto-routed by category specialism match
279,55,Responded,63,2024-01-08 04:39,Open,In Progress,Initial response sent to client
280,55,Status Changed,63,2024-01-08 18:39,In Progress,Pending Client,Additional information requested
281,55,Resolved,63,2024-01-09 04:54,In Progress,Resolved,Resolution confirmed. Notes added.
282,56,Created,90,2024-09-10 13:35,,Open,Ticket created via Email
283,56,Assigned,90,2024-09-10 13:48,Unassigned,Agent 90,Auto-routed by category specialism match
284,56,Responded,90,2024-09-10 18:01,Open,In Progress,Initial response sent to client
285,56,Status Changed,90,2024-09-11 08:01,In Progress,In Progress,Additional information requested
286,56,Resolved,90,2024-09-12 16:14,In Progress,Resolved,Resolution confirmed. Notes added.
287,56,Closed,90,2024-09-12 20:14,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
288,57,Created,28,2023-04-01 06:53,,Open,Ticket created via Email
289,57,Assigned,28,2023-04-01 07:09,Unassigned,Agent 28,Auto-routed by category specialism match
290,57,Responded,28,2023-04-01 12:12,Open,In Progress,Initial response sent to client
291,57,Resolved,28,2023-04-03 14:07,In Progress,Resolved,Resolution confirmed. Notes added.
292,57,Closed,28,2023-04-06 09:07,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
293,58,Created,71,2024-02-27 20:10,,Open,Ticket created via Email
294,58,Assigned,71,2024-02-27 20:26,Unassigned,Agent 71,Auto-routed by category specialism match
295,58,Responded,71,2024-02-27 20:31,Open,In Progress,Initial response sent to client
296,58,Resolved,71,2024-02-27 22:16,In Progress,Resolved,Resolution confirmed. Notes added.
297,58,Closed,71,2024-02-29 16:16,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
298,59,Created,60,2025-01-03 04:39,,Open,Ticket created via Phone
299,59,Assigned,60,2025-01-03 04:54,Unassigned,Agent 60,Auto-routed by category specialism match
300,59,Responded,60,2025-01-03 05:55,Open,In Progress,Initial response sent to client
301,59,Resolved,60,2025-01-03 06:24,In Progress,Resolved,Resolution confirmed. Notes added.
302,60,Created,9,2024-09-15 03:33,,Open,Ticket created via Portal
303,60,Assigned,9,2024-09-15 03:53,Unassigned,Agent 9,Auto-routed by category specialism match
304,60,Responded,9,2024-09-15 04:32,Open,In Progress,Initial response sent to client
305,60,Resolved,9,2024-09-15 17:40,In Progress,Resolved,Resolution confirmed. Notes added.
306,60,Closed,9,2024-09-16 06:40,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
307,61,Created,2,2024-09-29 07:15,,Open,Ticket created via Email
308,61,Assigned,2,2024-09-29 07:22,Unassigned,Agent 2,Auto-routed by category specialism match
309,61,Responded,2,2024-09-29 12:24,Open,In Progress,Initial response sent to client
310,61,Status Changed,2,2024-09-29 23:24,In Progress,Pending Client,Query sent to insurer
311,61,Resolved,2,2024-09-29 19:52,In Progress,Resolved,Resolution confirmed. Notes added.
312,62,Created,96,2024-10-03 23:52,,Open,Ticket created via Form
313,62,Assigned,96,2024-10-03 23:55,Unassigned,Agent 96,Auto-routed by category specialism match
314,62,Responded,96,2024-10-04 15:26,Open,In Progress,Initial response sent to client
315,62,Resolved,96,2024-10-07 12:02,In Progress,Resolved,Resolution confirmed. Notes added.
316,62,Closed,96,2024-10-10 03:02,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
317,63,Created,14,2023-11-12 05:40,,Open,Ticket created via Portal
318,63,Assigned,14,2023-11-12 05:46,Unassigned,Agent 14,Auto-routed by category specialism match
319,63,Responded,14,2023-11-12 07:16,Open,In Progress,Initial response sent to client
320,63,Status Changed,14,2023-11-12 18:16,In Progress,Pending Client,Pending document verification
321,63,Resolved,14,2023-11-13 08:22,In Progress,Resolved,Resolution confirmed. Notes added.
322,63,Closed,14,2023-11-15 07:22,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
323,64,Created,110,2023-05-23 00:39,,Open,Ticket created via Email
324,64,Assigned,110,2023-05-23 00:41,Unassigned,Agent 110,Auto-routed by category specialism match
325,64,Responded,110,2023-05-23 09:08,Open,In Progress,Initial response sent to client
326,64,Resolved,110,2023-05-26 17:22,In Progress,Resolved,Resolution confirmed. Notes added.
327,65,Created,9,2024-02-07 09:31,,Open,Ticket created via Email
