EscalationID,TicketID,EscalatedFrom,EscalatedTo,EscalationReason,EscalatedAt,AutomatedFlag
421,1454,32,41,SLA Risk,2024-02-05 15:54,0
422,952,66,60,SLA Risk,2024-08-23 20:19,0
423,809,102,105,Complexity,2024-08-04 07:39,0
424,3431,63,45,SLA Risk,2024-07-31 17:26,0
425,361,45,69,SLA Risk,2023-11-06 17:15,1
426,806,40,3,SLA Risk,2024-08-25 09:34,0
427,2568,56,45,SLA Risk,2024-05-24 18:45,0
428,1299,31,40,SLA Risk,2025-02-19 03:37,0
429,2708,45,66,SLA Risk,2025-01-08 16:01,0
430,2136,117,119,SLA Risk,2023-03-11 08:30,0
431,1840,13,35,SLA Risk,2024-08-11 07:26,1
432,3397,105,111,SLA Risk,2025-01-23 12:29,1
433,171,66,59,SLA Risk,2023-12-05 10:25,0
434,55,63,59,SLA Risk,2024-01-09 04:18,0
435,928,25,2,SLA Risk,2024-01-11 04:31,1
436,2846,60,66,SLA Risk,2023-01-22 12:08,0
437,1242,4,32,SLA Risk,2024-09-03 22:55,1
438,1864,66,60,SLA Risk,2023-08-30 11:36,1
439,547,52,66,SLA Risk,2024-04-17 13:38,0
440,895,26,9,SLA Risk,2023-09-21 23:58,1
441,2176,33,3,SLA Risk,2025-02-09 22:56,1
442,2526,40,1,Client Request,2023-06-06 06:33,0
443,3251,87,78,SLA Risk,2024-09-29 18:25,1
444,2964,9,32,SLA Risk,2023-04-08 13:18,0
445,716,11,41,SLA Risk,2024-04-12 22:41,1
446,859,97,86,SLA Risk,2023-09-17 17:43,0
447,2459,35,9,SLA Risk,2024-06-09 14:04,0
448,1652,90,88,SLA Risk,2024-04-14 21:00,0
449,1975,5,2,SLA Risk,2023-10-08 14:11,1
450,1581,109,105,SLA Risk,2023-09-09 14:03,1
451,947,9,34,SLA Risk,2024-08-19 01:01,0
452,2622,16,2,SLA Risk,2023-01-24 13:29,0
453,3239,99,117,SLA Risk,2025-03-27 18:04,0
454,2340,37,34,SLA Risk,2025-03-29 03:49,1
455,1483,25,41,SLA Risk,2023-02-18 08:42,1
456,1046,11,34,SLA Risk,2023-01-24 13:22,0
457,338,19,41,SLA Risk,2023-03-12 03:49,0
458,369,13,31,SLA Risk,2023-06-15 05:39,1
459,2175,9,40,SLA Risk,2024-04-30 23:37,1
460,1097,105,119,SLA Risk,2023-09-11 23:46,0
461,16,14,40,SLA Risk,2024-02-29 20:22,0
462,2918,59,66,SLA Risk,2023-11-22 13:12,1
463,638,100,102,SLA Risk,2024-09-21 01:14,1
464,1719,79,76,SLA Risk,2023-02-17 12:26,0
