ClientID,ClientName,ClientType,ContractTier,AccountManagerID,Region,ContractStartDate,ContractEndDate,SLACreditClause,IsActive
68,County Specialist Services,Private Hospital,Standard,105,Scotland,2022-12-01,2026-07-18,0,0
69,Central GP Practice,Mental Health Clinic,Standard,76,Midlands,2023-03-01,2027-03-28,0,1
70,Central GP Practice,GP Practice,Standard,76,Midlands,2014-02-01,2015-05-09,0,1
71,District GP Practice,Dental Group,Premium,2,North West,2023-08-01,2027-12-05,1,1
72,City Specialist Services,Private Hospital,Premium,86,Midlands,2010-10-01,2013-09-22,0,1
73,Crown Medical Centre,Specialist Clinic,Standard,72,Midlands,2018-09-01,2022-07-06,0,1
74,Central Medical Centre,GP Practice,Standard,102,Scotland,2020-07-01,2023-08-04,0,0
75,Central Specialist Services,Dental Group,Premium,76,Midlands,2021-11-01,2026-05-10,0,1
76,Crown Health Clinic,Physiotherapy Centre,Standard,88,Midlands,2015-11-01,2017-10-24,0,1
77,Central GP Practice,Mental Health Clinic,Enterprise,105,Scotland,2022-03-01,2023-07-08,1,0
78,County Health Clinic,Private Hospital,Standard,45,Yorkshire,2015-05-01,2019-03-21,0,1
79,Central GP Practice,GP Practice,Premium,41,North West,2013-05-01,2016-05-01,1,1
80,District Health Clinic,Physiotherapy Centre,Standard,86,Midlands,2016-12-01,2020-05-19,0,1
